{'Tiempo': '2023-11-29T14:12:40.194057', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:12:41.800405', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:15:47.727926', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:15:49.363236', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:16:17.744893', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:16:19.383329', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:16:47.771778', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:16:49.403642', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:17:17.788298', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:17:19.405815', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:17:47.807254', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:17:49.435564', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:18:17.828077', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:18:19.452359', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:18:47.849012', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:18:49.463875', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:19:17.870599', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:19:19.486233', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:19:47.895467', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:19:49.511285', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:20:17.923265', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:20:19.539288', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:20:47.942478', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:20:49.563984', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:21:17.969100', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:21:19.591932', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:21:47.974685', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:21:49.618138', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:22:17.990924', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:22:19.645265', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:22:48.002813', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:22:49.672401', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:23:18.009485', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
{'Tiempo': '2023-11-29T14:23:19.679991', 'hostname': 'R1', 'fa0/0_In_uPackets': 0, 'fa0/0_Out_uPackets': 0}
