{'Tiempo': '2023-11-29T14:12:40.803847', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 118.0}
{'Tiempo': '2023-11-29T14:12:42.575722', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 118.0}
{'Tiempo': '2023-11-29T14:15:48.307410', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 133.0}
{'Tiempo': '2023-11-29T14:15:49.820126', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 134.0}
{'Tiempo': '2023-11-29T14:16:17.811622', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 136.0}
{'Tiempo': '2023-11-29T14:16:19.428215', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 137.0}
{'Tiempo': '2023-11-29T14:16:47.835451', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 139.0}
{'Tiempo': '2023-11-29T14:16:49.459540', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 139.0}
{'Tiempo': '2023-11-29T14:17:17.847773', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 142.0}
{'Tiempo': '2023-11-29T14:17:19.448394', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 142.0}
{'Tiempo': '2023-11-29T14:17:47.860168', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 145.0}
{'Tiempo': '2023-11-29T14:17:49.487402', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 145.0}
{'Tiempo': '2023-11-29T14:18:17.879473', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 148.0}
{'Tiempo': '2023-11-29T14:18:19.496726', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 148.0}
{'Tiempo': '2023-11-29T14:18:47.899376', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 151.0}
{'Tiempo': '2023-11-29T14:18:49.511482', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 151.0}
{'Tiempo': '2023-11-29T14:19:17.919462', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 154.0}
{'Tiempo': '2023-11-29T14:19:19.535538', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 154.0}
{'Tiempo': '2023-11-29T14:19:47.948515', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 157.0}
{'Tiempo': '2023-11-29T14:19:49.567528', 'hostname': 'R1', 'fa0/1_In_uPackets': 0.0, 'fa0/1_Out_uPackets': 157.0}
{'Tiempo': '2023-11-29T14:20:17.997194', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 169.0}
{'Tiempo': '2023-11-29T14:20:19.591239', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 169.0}
{'Tiempo': '2023-11-29T14:20:47.999760', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 171.0}
{'Tiempo': '2023-11-29T14:20:49.611596', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 171.0}
{'Tiempo': '2023-11-29T14:21:18.019464', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 171.0}
{'Tiempo': '2023-11-29T14:21:19.655577', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 171.0}
{'Tiempo': '2023-11-29T14:21:48.024004', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 174.0}
{'Tiempo': '2023-11-29T14:21:49.671861', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 174.0}
{'Tiempo': '2023-11-29T14:22:18.032373', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 177.0}
{'Tiempo': '2023-11-29T14:22:19.704949', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 177.0}
{'Tiempo': '2023-11-29T14:22:48.051942', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 180.0}
{'Tiempo': '2023-11-29T14:22:49.722812', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 180.0}
{'Tiempo': '2023-11-29T14:23:18.059590', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 183.0}
{'Tiempo': '2023-11-29T14:23:19.727311', 'hostname': 'R1', 'fa0/1_In_uPackets': 8.0, 'fa0/1_Out_uPackets': 183.0}
